Player,Pos,Team                     Currently With,Age                     At Signing,Start,End,Yrs,Value,AAV,Signing Bonus,2-Year Cash,3-Year Cash
Masataka Yoshida,DH,BOS                  BOS,29,2023,2027,5,"$90,000,000.00","$18,000,000.00","$3,000,000.00","$36,000,000.00","$54,000,000.00"
Willson Contreras,1B,BOS                  BOS,30,2023,2028,5,"$87,500,000.00","$17,500,000.00",,"$28,000,000.00","$45,419,356.00"
Tyler Soderstrom,1B,ATH                  ATH,24,2026,2032,7,"$86,000,000.00","$12,285,714.00","$3,000,000.00","$10,000,000.00","$20,000,000.00"
Seiya Suzuki,RF,CHC                  CHC,27,2022,2026,5,"$85,000,000.00","$17,000,000.00","$5,000,000.00","$29,000,000.00","$49,000,000.00"
Lance McCullers,SP,HOU                  HOU,28,2022,2026,5,"$85,000,000.00","$17,000,000.00",,"$30,500,000.00","$47,500,000.00"
Jackson Chourio,LF,MIL                  MIL,19,2024,2033,8,"$82,000,000.00","$10,250,000.00","$2,000,000.00","$8,000,000.00","$15,000,000.00"
Jake Cronenworth,1B,SD                  SD,29,2024,2030,7,"$80,000,000.00","$11,428,571.00","$2,000,000.00","$20,000,000.00","$32,000,000.00"
Eduardo Rodriguez,SP,ARI                  ARI,30,2024,2028,4,"$80,000,000.00","$20,000,000.00",,"$34,000,000.00","$55,000,000.00"
Mitch Keller,SP,PIT                  PIT,27,2024,2028,5,"$77,000,000.00","$15,400,000.00","$2,057,500.00","$22,500,000.00","$39,000,000.00"
Kodai Senga,SP,NYM                  NYM,29,2023,2027,5,"$75,000,000.00","$15,000,000.00","$5,000,000.00","$33,000,000.00","$47,000,000.00"
Andrew Benintendi,LF,CHW                  CHW,28,2023,2027,5,"$75,000,000.00","$15,000,000.00","$3,000,000.00","$27,500,000.00","$44,000,000.00"
Spencer Strider,SP,ATL                  ATL,24,2023,2029,6,"$75,000,000.00","$12,500,000.00",,"$2,000,000.00","$6,000,000.00"
Nathan Eovaldi,SP,TEX                  TEX,34,2025,2027,3,"$75,000,000.00","$25,000,000.00","$12,000,000.00","$55,100,000.00","$75,100,000.00"
Sean Manaea,SP,NYM                  NYM,32,2025,2027,3,"$75,000,000.00","$25,000,000.00",,"$34,500,000.00","$51,750,000.00"
Michael King,SP,SD                  SD,30,2026,2028,3,"$75,000,000.00","$25,000,000.00","$12,000,000.00","$45,000,000.00","$75,000,000.00"
Sonny Gray,SP,BOS                  BOS,34,2024,2027,3,"$75,000,000.00","$25,000,000.00",,"$35,000,000.00","$46,000,000.00"
Tommy Edman,CF,LAD                  LAD,29,2025,2030,5,"$74,000,000.00","$14,800,000.00","$17,000,000.00","$28,000,000.00","$34,000,000.00"
Pablo López,SP,MIN                  MIN,27,2024,2027,4,"$73,500,000.00","$18,375,000.00","$1,000,000.00","$30,500,000.00","$52,000,000.00"
Sean Murphy,C,ATL                  ATL,28,2023,2028,6,"$73,000,000.00","$12,166,667.00",,"$13,000,000.00","$28,000,000.00"
Michael Harris II,CF,ATL                  ATL,21,2023,2032,8,"$72,000,000.00","$9,000,000.00",,"$10,000,000.00","$18,000,000.00"
Tanner Scott,RP,LAD                  LAD,30,2025,2028,4,"$72,000,000.00","$18,000,000.00","$20,000,000.00","$31,500,000.00","$41,250,000.00"
Taijuan Walker,SP,PHI                  PHI,30,2023,2026,4,"$72,000,000.00","$18,000,000.00",,"$36,000,000.00","$54,000,000.00"
Ke'Bryan Hayes,3B,CIN                  CIN,24,2022,2030,8,"$70,000,000.00","$8,750,000.00",,"$20,000,000.00","$27,000,000.00"
Jacob Wilson,SS,ATH                  ATH,23,2026,2033,7,"$70,000,000.00","$10,000,000.00","$3,000,000.00","$6,500,000.00","$11,000,000.00"
