Rk,Player,Age,Team,Lg,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Pos,Awards,Player-additional
163,Kyle Isbel*,28,KCR,AL,409,-9,-1,0,9,3,2,0.3,14,16,1.6,0.502,0.501,0.6,1.4,7,*8/H,,isbelky01
164,Isiah Kiner-Falefa,30,2TM,2LG,459,-12,1,1,5,7,2,0.2,16,17,1.6,0.501,0.501,1.1,1.2,12,654/H1,,kineris01
164,Isiah Kiner-Falefa,30,PIT,NL,428,-11,1,1,5,6,2,0.2,15,17,1.6,0.502,0.501,1.1,1.1,12,65/H,,kineris01
164,Isiah Kiner-Falefa,30,TOR,AL,31,-1,0,1,0,0,-1,-0.1,1,0,0.0,0.497,0.500,0.0,0.1,0,4/5H16,,kineris01
165,Jake Mangum#,29,TBR,AL,428,-4,2,2,3,-2,1,0.2,15,16,1.6,0.501,0.501,1.3,0.1,13,*789/HD,,manguja01
166,Gabriel Moreno,25,ARI,NL,309,5,0,-1,-3,5,6,0.6,11,17,1.6,0.507,0.504,1.9,0.2,20,2/DH,,morenga01
167,Marcell Ozuna,34,ATL,NL,592,13,-3,-1,0,-12,-2,-0.3,20,18,1.6,0.498,0.498,1.7,-1.2,18,*D/H,,ozunama01
168,Anthony Volpe,24,NYY,AL,596,-14,-2,1,2,9,-4,-0.4,20,17,1.6,0.497,0.497,1.4,1.2,14,*6/H,,volpean01
169,Jordan Westburg,26,BAL,AL,352,7,-2,2,-4,1,4,0.4,12,16,1.6,0.505,0.502,2.0,-0.3,20,54D/H,,westbjo01
170,Alec Bohm,28,PHI,NL,504,3,-3,-2,-2,2,-2,-0.2,17,16,1.5,0.499,0.499,1.7,0.0,18,53,,bohmal01
171,Teoscar Hernández,32,LAD,NL,546,0,0,0,1,-4,-3,-0.3,19,16,1.5,0.498,0.498,1.4,-0.3,15,*9/H,,hernate01
172,Colt Keith*,23,DET,AL,468,4,1,0,-1,-4,-1,0.0,16,16,1.5,0.500,0.500,1.6,-0.5,16,D54H3,,keithco01
173,Bo Naylor*,25,CLE,AL,414,-9,-1,0,3,8,1,0.2,14,15,1.5,0.501,0.501,1.2,1.2,12,*2H,,naylobo01
174,Javier Sanoja,22,MIA,NL,342,-3,-1,1,7,1,5,0.5,12,16,1.5,0.504,0.503,0.8,0.8,9,574H86/13D,GG,sanojja01
175,Mike Trout,33,LAA,AL,556,10,0,-1,-3,-10,-4,-0.3,19,15,1.5,0.497,0.498,1.8,-1.3,18,D9/H,,troutmi01
176,Carlos Correa,30,2TM,AL,584,2,-1,0,-13,7,-5,-0.5,20,15,1.5,0.496,0.497,2.8,-0.6,28,65/H,,correca01
176,Carlos Correa,30,MIN,AL,364,-4,-1,0,-11,5,-11,-1.1,12,2,0.1,0.488,0.493,1.3,-0.6,13,6/H,,correca01
176,Carlos Correa,30,HOU,AL,220,6,0,0,-2,2,6,0.6,7,13,1.3,0.511,0.504,1.5,0.0,15,5/6,,correca01
177,Ke'Bryan Hayes,28,2TM,NL,570,-24,-1,-1,19,4,-3,-0.3,19,17,1.5,0.498,0.499,-0.4,2.4,-2,*5/H,GG,hayeske01
177,Ke'Bryan Hayes,28,PIT,NL,392,-19,1,0,16,3,0,-0.1,13,13,1.2,0.500,0.500,-0.4,1.9,-3,5/H,,hayeske01
177,Ke'Bryan Hayes,28,CIN,NL,178,-4,-2,0,3,1,-3,-0.3,6,4,0.3,0.495,0.498,0.0,0.4,1,5,,hayeske01
178,Alex Call,30,2TM,NL,322,6,0,1,1,-4,4,0.4,11,15,1.5,0.504,0.502,1.4,-0.3,14,97H/D8,,callal02
178,Alex Call,30,WSN,NL,237,6,-1,0,0,-2,3,0.3,8,12,1.1,0.505,0.502,1.1,-0.3,12,97H/D8,,callal02
178,Alex Call,30,LAD,NL,85,0,0,1,1,-1,1,0.1,3,4,0.4,0.502,0.500,0.2,0.0,3,7H9/8D,,callal02
179,Josh Jung,27,TEX,AL,511,1,-3,-1,-3,3,-3,-0.3,17,14,1.4,0.498,0.498,1.7,0.0,17,*5/DH,,jungjo01
